,season_x,player,age,team_id,pos,g,gs,mp_per_g,fga_per_g,fg_pct,fg3a_per_g,fg3_pct,fg2a_per_g,fg2_pct,efg_pct,fta_per_g,ft_pct,orb_per_g,drb_per_g,tr_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,season_y,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
0,2023,Joel Embiid,28,PHI,C,66,66,34.6,20.1,.548,3.0,.330,17.1,.587,.573,11.7,.857,1.7,8.4,10.2,4.2,1.0,1.7,3.4,3.1,33.1,2023,2284,31.4,.655,.151,.581,5.9,28.3,17.3,22.9,1.4,4.6,11.9,37.0,8.4,3.9,12.3,.259,6.8,2.3,9.2,6.4,4.32,4.38,0.6585365853658537
8,2023,James Harden,33,PHI,PG,58,58,36.8,14.5,.441,7.2,.385,7.3,.495,.536,6.2,.867,0.7,5.4,6.1,10.7,1.2,0.5,3.4,1.9,21.0,2023,2135,21.6,.607,.496,.429,2.3,17.1,9.8,43.3,1.6,1.4,16.3,25.0,5.8,2.6,8.4,.188,5.1,0.3,5.4,4.0,4.32,4.38,0.6585365853658537
12,2023,Tyrese Maxey,22,PHI,SG,60,41,33.6,15.2,.481,6.2,.434,9.1,.513,.568,3.6,.845,0.4,2.6,2.9,3.5,0.8,0.1,1.3,2.2,20.3,2023,2016,17.0,.605,.404,.233,1.4,8.8,5.2,16.9,1.2,0.4,7.4,24.1,3.7,1.6,5.4,.128,1.9,-1.2,0.6,1.3,4.32,4.38,0.6585365853658537
20,2024,Kelly Oubre Jr.,28,PHI,SF,68,52,30.2,12.9,.441,4.8,.311,8.1,.517,.498,3.4,.750,1.4,3.6,5.0,1.5,1.1,0.7,1.3,2.9,15.4,2023,1548,14.8,.534,.414,.254,4.4,12.9,8.6,5.6,2.1,1.0,6.6,26.5,0.1,1.5,1.7,.051,-0.4,-0.7,-1.1,0.3,4.32,4.38,0.6585365853658537
24,2023,Louis King,23,PHI,PF,1,0,29.0,13.0,.615,8.0,.500,5.0,.800,.769,1.0,.000,2.0,2.0,4.0,2.0,1.0,0.0,2.0,4.0,20.0,2023,29,21.3,.744,.615,.077,8.3,8.0,8.1,12.2,1.7,0.0,13.0,23.8,0.1,0.0,0.1,.157,3.3,-1.0,2.3,0.0,4.32,4.38,0.6585365853658537
26,2024,Buddy Hield,31,PHI,SG,32,14,25.8,10.4,.426,6.6,.389,3.8,.492,.550,0.8,.923,0.8,2.3,3.2,3.0,0.8,0.3,1.3,2.1,12.2,2023,2482,15.4,.614,.652,.124,3.0,14.9,8.9,13.3,1.8,0.9,11.3,20.8,2.7,1.6,4.4,.085,2.5,-0.6,1.9,2.4,4.32,4.38,0.6585365853658537
34,2023,Tobias Harris,30,PHI,SF,74,74,32.9,11.4,.501,4.4,.389,7.0,.570,.575,1.7,.876,0.9,4.8,5.7,2.5,0.9,0.5,1.2,2.0,14.7,2023,2436,14.8,.602,.383,.153,3.3,17.0,10.3,11.4,1.4,1.5,9.0,18.2,3.1,2.8,5.9,.116,0.6,0.1,0.7,1.7,4.32,4.38,0.6585365853658537
42,2024,KJ Martin,23,PHI,SF,58,2,12.3,2.9,.544,0.4,.304,2.6,.581,.564,0.7,.538,0.7,1.5,2.2,0.9,0.3,0.2,0.5,1.7,3.7,2023,2292,15.4,.635,.300,.308,6.0,15.8,10.8,8.1,0.9,1.3,10.0,16.4,4.2,0.7,4.9,.103,0.6,-1.3,-0.7,0.7,4.32,4.38,0.6585365853658537
50,2023,Mac McClung,24,PHI,SG,2,0,20.5,10.0,.450,5.5,.364,4.5,.556,.550,2.5,.600,1.5,3.5,5.0,4.5,0.0,0.0,1.5,1.5,12.5,2023,41,19.2,.563,.550,.250,8.8,19.8,14.4,35.3,0.0,0.0,11.9,27.5,0.1,0.0,0.1,.140,2.2,-1.7,0.5,0.0,4.32,4.38,0.6585365853658537
52,2024,Kyle Lowry,37,PHI,PG,23,20,28.4,5.9,.444,3.9,.404,2.0,.522,.578,1.4,.848,0.4,2.4,2.8,4.6,0.9,0.3,1.4,2.3,8.0,2023,1718,12.6,.565,.639,.278,2.8,12.9,7.7,23.4,1.7,1.2,15.9,16.7,1.5,1.9,3.4,.096,-0.7,0.8,0.2,0.9,4.32,4.38,0.6585365853658537
60,2024,Marcus Morris,34,PHI,PF,37,7,17.2,5.5,.439,2.4,.400,3.1,.470,.527,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,2023,1825,10.5,.534,.479,.135,1.8,13.9,7.9,8.9,1.1,1.0,7.6,17.6,0.4,1.6,2.0,.053,-1.8,-0.2,-1.9,0.0,4.32,4.38,0.6585365853658537
68,2024,Cameron Payne,29,PHI,PG,31,8,19.4,8.4,.413,4.4,.382,4.0,.447,.514,0.7,.913,0.5,1.3,1.8,3.1,0.6,0.3,1.1,1.7,9.3,2023,968,13.2,.512,.408,.141,1.3,11.0,6.1,32.6,1.7,0.7,14.4,24.8,0.0,1.0,1.1,.053,-0.5,-0.7,-1.2,0.2,4.32,4.38,0.6585365853658537
76,2023,De'Anthony Melton,24,PHI,SG,77,58,27.9,8.5,.425,5.2,.390,3.2,.484,.546,1.1,.793,0.9,3.2,4.1,2.6,1.6,0.5,1.3,2.5,10.1,2023,2150,12.7,.566,.619,.134,3.9,13.1,8.6,12.9,2.9,1.8,12.9,16.4,1.1,3.1,4.2,.095,-0.7,1.6,0.9,1.6,4.32,4.38,0.6585365853658537
84,2023,Julian Champagnie,21,PHI,SF,2,0,3.5,1.0,.000,0.5,.000,0.5,.000,.000,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,2023,320,13.4,.600,.631,.131,3.3,17.7,10.2,4.5,0.9,1.3,7.4,19.2,0.3,0.1,0.4,.061,-0.6,-2.7,-3.3,-0.1,4.32,4.38,0.6585365853658537
92,2023,Jalen McDaniels,25,PHI,SF,24,3,17.5,5.1,.488,1.3,.400,3.9,.516,.537,1.4,.824,0.8,2.4,3.2,0.8,0.7,0.2,0.5,2.1,6.7,2023,1913,11.8,.557,.376,.224,3.6,16.3,9.9,9.6,2.1,1.6,12.1,17.2,0.5,2.2,2.7,.068,-2.7,0.6,-2.1,-0.1,4.32,4.38,0.6585365853658537
100,2023,Shake Milton,26,PHI,SG,76,11,20.6,6.6,.479,1.9,.378,4.7,.521,.535,1.5,.853,0.5,2.0,2.5,3.2,0.3,0.2,1.2,1.6,8.4,2023,1567,12.7,.575,.294,.231,3.0,11.3,7.2,22.3,0.8,0.8,14.5,18.5,1.6,1.2,2.9,.087,-1.0,-0.9,-2.0,0.0,4.32,4.38,0.6585365853658537
110,2023,Georges Niang,29,PHI,PF,78,1,19.4,6.4,.442,4.9,.401,1.5,.576,.596,0.6,.867,0.2,2.1,2.4,1.0,0.4,0.2,0.7,1.9,8.2,2023,1512,10.9,.610,.765,.090,1.5,12.8,7.2,7.3,1.0,0.9,9.4,17.0,1.1,1.4,2.5,.078,-0.4,-1.0,-1.4,0.2,4.32,4.38,0.6585365853658537
114,2024,Mo Bamba,25,PHI,C,57,17,13.0,3.5,.490,1.1,.391,2.4,.537,.553,0.9,.680,1.4,2.8,4.2,0.7,0.4,1.1,0.7,1.8,4.4,2023,769,15.7,.602,.515,.257,8.5,24.2,16.4,8.7,0.8,5.3,10.1,16.6,1.1,1.1,2.2,.139,-0.2,0.7,0.5,0.5,4.32,4.38,0.6585365853658537
122,2024,Patrick Beverley,35,PHI,PG,47,5,19.6,5.1,.432,2.3,.321,2.8,.523,.504,1.3,.810,0.6,2.4,3.1,3.1,0.5,0.4,1.0,1.8,6.3,2023,1816,8.9,.534,.664,.181,2.7,12.0,7.5,13.3,1.7,2.0,13.4,10.6,0.8,2.1,3.0,.079,-2.9,1.7,-1.2,0.3,4.32,4.38,0.6585365853658537
134,2024,Nicolas Batum,35,PHI,PF,57,38,25.9,4.4,.456,3.1,.399,1.2,.600,.599,0.4,.714,1.2,3.0,4.2,2.2,0.8,0.6,0.7,1.8,5.5,2023,1709,11.0,.594,.832,.126,4.1,15.4,9.8,9.4,1.5,2.3,11.1,11.5,1.7,1.9,3.6,.101,-0.8,1.2,0.5,1.0,4.32,4.38,0.6585365853658537
142,2023,Saben Lee,23,PHI,PG,2,0,5.0,2.0,.750,0.5,.000,1.5,1.000,.750,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,1.5,0.5,3.0,2023,373,13.1,.517,.248,.471,3.8,9.7,6.7,24.3,2.5,0.2,14.1,19.5,0.2,0.4,0.7,.088,-2.7,0.9,-1.8,0.0,4.32,4.38,0.6585365853658537
150,2024,Robert Covington,33,PHI,SF,26,3,16.1,3.4,.449,1.8,.354,1.6,.561,.545,0.9,.875,1.1,2.3,3.4,0.7,1.3,0.6,0.4,1.9,4.5,2023,779,14.2,.584,.594,.175,4.5,19.2,11.9,10.2,2.4,3.7,11.5,15.6,0.7,1.2,1.9,.117,-0.5,2.1,1.7,0.7,4.32,4.38,0.6585365853658537
158,2023,Montrezl Harrell,29,PHI,C,57,7,11.9,3.7,.598,0.1,.000,3.6,.616,.598,1.8,.693,1.2,1.6,2.8,0.6,0.3,0.4,0.6,1.3,5.6,2023,681,17.6,.631,.029,.483,11.8,15.7,13.8,7.4,1.2,3.4,12.1,18.9,1.3,0.8,2.2,.153,-0.9,-0.4,-1.3,0.1,4.32,4.38,0.6585365853658537
160,2024,Danny Green,36,PHI,SG,2,0,9.0,1.0,.000,0.5,.000,0.5,.000,.000,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0,2023,138,10.8,.617,.755,.020,2.5,9.1,5.8,6.1,2.2,2.0,16.8,18.9,0.0,0.2,0.2,.059,-2.1,0.2,-1.9,0.0,4.32,4.38,0.6585365853658537
